wkt_geom,LOCATION,APP_NO,STATUS,NO_OF_TURB,HUB_HT,TIP_HT,STATUS__OP,INSTALLED_,CAPACITY,Decision,lon,lat
Point (-4.92869762155303448 50.37634934521170038),"Land at Pines Tip, Summercourt, Newquay",PA15/00955,Application under consideration,3,---,70m,Pending,0,2.7,1899-12-30,-4.9287,50.3763
Point (-4.81365596496525505 50.52972096954848524),"Tregorden Farm, Wadebridge",PA15/00831,Refused Planning Application,1,---,36.6m,Refused,0,0,5/12/2015,-4.8137,50.5297
Point (-4.54581569239898542 50.68379936383733053),"Churchtown Farm, Warbxtow, Launceston",PA15/00399,Application in for screening opinion N,1,36.6m,48.8m,screening N,0,0.085,2/23/2015,-4.5458,50.6838
Point (-4.81242004816653335 50.42470637484845497),"Land N of Woodlands Barton, Wireless Road",PA15/00778,Application in for screening opinion P,1,---,100m,screening P,0,1.5,2/9/2015,-4.8124,50.4247
Point (-4.83638648542345972 50.34698975147056643),"Blackpool Quarry, Greensplat, St Austell",PA15/01218,Application approved not constructed,1,50m,77m,Approved,0,0.5,7/7/2015,-4.8364,50.347
Point (-5.67211253561460538 50.08419044493425787),"Land At Trevorrian Farm, Access to Trevorrian Farm",PA15/01124,Refused Appeal Lodged,1,24.8m,36.6m,Refused app lodg,0,0.085,3/25/2015,-5.6721,50.0842
Point (-4.68145751218887796 50.48086518867386019),"E of Callybarrett Farm, Callybarrett Rd, Cardinham",PA15/01328,Application in for screening opinion N,1,40m,67m,screening N,0,0.5,2/26/2015,-4.6815,50.4809
Point (-4.75330954776897485 50.36688465319972607),"Trethurgy Farm, Trethurgy",PA15/01479,Refused Planning Application,1,55.6m,79.6m,Refused,0,0.5,5/7/2015,-4.7533,50.3669
Point (-4.37849920216446353 50.61584205035381245),"Land E of East Petherwin, South Petherwin",PA15/01625,Application in for screening opinion N,1,50m,77m,screening N,0,0.5,3/2/2015,-4.3785,50.6158
Point (-4.26919035235560607 50.4888159091971005),"Lanoyce Nurseries, St. Dominick, Saltash",PA15/01520,Application in for screening opinion N,1,23.6m,33.2m,screening N,0,0.05,7/2/2015,-4.2692,50.4888
Point (-4.35700140761659682 50.45454480977713274),"The Beacon, Dannett Farm, Quethiock",PA15/01043,Application under consideration,1,35m,51m,Pending,0,0.25,1899-12-30,-4.357,50.4545
Point (-4.86721366307081738 50.44444809474227043),"Land W of Lancorla Farm, Kernick Road, St Wenn",PA15/01769,Application approved not constructed,1,25m,34.5m,Approved,0,0.05,4/28/2015,-4.8672,50.4444
Point (-4.86721366307081738 50.44444809474227043),"Land W of Lancorla Farm, Kernick Road, St Wenn",PA15/02202,Application in for screening opinion N,1,25m,34.5m,screening N,0,0.05,3/18/2015,-4.8672,50.4444
Point (-4.48604646933551443 50.81840122049676012),"Land at Scorsham Farm , Stratton, Bude",PA15/01117,Refused Planning Application,1,36.6m,48.4m,Refused,0,0.1,7/6/2015,-4.486,50.8184
Point (-4.48604646933551443 50.81840122049676012),"Land at Scorsham Farm , Stratton, Bude",PA15/02515,Application in for screening opinion N,1,36.6m,48.4m,screening N,0,0.1,3/25/2015,-4.486,50.8184
Point (-4.81242004816653335 50.42470637484845497),"Land N of Woodlands Barton, Wireless Road",PA15/02154,Scoping Opinion (issued),1,---,100m,scoping,0,1.5,5/11/2015,-4.8124,50.4247
Point (-4.84071673905271105 50.32985243499576455),"Land at Manor Farm, Burngullow Lane, High Street",PA15/02150,Scoping Opinion (issued),1,---,99m,scoping,0,0.5,5/29/2015,-4.8407,50.3299
Point (-4.45236073202490079 50.623103551103803),"Land N Of Trenault Farm, Pipers Pool, Launceston",PA15/02511,Application approved not constructed,1,18.3m,24.8m,Approved,0,0.011,5/20/2015,-4.4524,50.6231
Point (-4.54681290436704266 50.81680653076801235),"Cerenety Eco Campsite, Upton, Bude",PA15/01337,Application under consideration,1,---,6m,Pending,0,0.005,1899-12-30,-4.5468,50.8168
Point (-4.2409458034084766 50.34954775519323533),"Land East of Withnoe Lane, St John",PA15/02976,Application in for screening opinion N,1,40m,67m,screening N,0,0.5,4/2/2015,-4.2409,50.3495
Point (-4.68296006458239678 50.48137365158161316),"Land East Of Callybarrett Farm, Cardinham, Bodmin",PA15/02966,Application approved not constructed,1,40m,67m,Approved,0,0.5,5/14/2015,-4.683,50.4814
Point (-5.28790578275811018 50.2540241161314114),"Land at Gwel An Mor, Feadon Lane, Portreath",PA15/00874/PREAPP,Pre application - closed/issued,2,25m,34.4m,Closed pub avail,0,0.11,5/14/2015,-5.2879,50.254
Point (-4.44831046181760925 50.76108362250042205),"West Balsdon Farm, Whitstone, Holsworthy",PA15/03334,Application in for screening opinion N,1,50m,77m,screening N,0,0.5,4/16/2015,-4.4483,50.7611
Point (-5.05100738613611799 50.3395785284055961),"Land Off Ventonteague, St Allen, Truro",PA15/02972,Application approved not constructed,1,60m,98.5,Approved,0,1.5,10/26/2015,-5.051,50.3396
Point (-5.64651669171800474 50.11562446524819592),"Cocks Roost, St Just, Penzance",PA15/01206/PREAPP,Pre application - closed/issued,1,15m,18.5m,Closed pub avail,0,0.01,5/28/2015,-5.6465,50.1156
Point (-4.54236226141494193 50.47607567108790505),"Land S of Wenmouth Manor, St Neot, Liskeard",PA15/03849,Refused Planning Application,1,22m,34.2m,Refused,0,0.1,7/1/2015,-4.5424,50.4761
Point (-5.27929574461144391 50.2402577296296613),"Merrose Farm, Illogan Downs, Illogan, Redruth",PA15/03580,Application approved not constructed,1,37m,49m,Approved,0,0.1,9/22/2015,-5.2793,50.2403
Point (-5.11393977209795381 50.15278220784419005),"Field NW of Nangitha Farm, Budock Water",PA14/09087,Application approved not constructed,2,30.52m,45.07m,Approved,0,0.45,8/19/2015,-5.1139,50.1528
Point (-4.59826845577202636 50.62851782713403281),"Moorhead Farm, St Clether, Launceston",PA15/01398/PREAPP,Pre application - closed/issued,1,12m,15.5m,Closed pub avail,0,0.004,6/3/2015,-4.5983,50.6285
Point (-4.90164943072451287 50.47418657704109535),"Land At Scotland Corner, Rosenannon",PA15/04837,Application under consideration,5,60m,100m,Pending,0,10,1899-12-30,-4.9016,50.4742
Point (-5.04025348363343717 50.43544778097463421),"Land west of Trebelsue Farm, Newquay",PA15/05672,Application approved not constructed,1,25m,36.6m,Approved,0,0.085,9/25/2015,-5.0403,50.4354
Point (-4.42542918595645318 50.72476959206287717),"Villaton Farm, Boyton, Launceston",PA15/05525,Refused Planning Application,1,15m,17.75m,Refused,0,0.005,10/14/2015,-4.4254,50.7248
Point (-4.74506088410984095 50.45183070580740292),"Land south of Stephen Gelly, Bodmin",PA15/06224,Application in for screening opinion N,1,36.6m,48.35m,screening N,0,0.085,7/15/2015,-4.7451,50.4518
Point (-4.60971571865672392 50.64003212564019663),"Higher Tremail Farm, Tremail, Camelford",PA15/05326,Refused Planning Application,1,24.8m,36.6m,Refused,0,0.085,9/21/2015,-4.6097,50.64
Point (-4.64773512063460625 50.65451803760847582),"Land south of Hendraburnick Farmhouse, Davidstow",PA15/07063,Application in for screening opinion P,1,50m,77m,screening P,0,0.5,8/10/2015,-4.6477,50.6545
Point (-4.50329843555517595 50.81887063605953614),"Land SW of Marsh Farm, Howard Lane, Stratton",PA15/07069,Application in for screening opinion N,1,24m,35.5m,screening N,0,0,8/10/2015,-4.5033,50.8189
Point (-4.61338898061416014 50.70308762328844665),"Land At Carwitham Barton Farm, Marshgate",PA15/06639,Refused Planning Application,2,24.6m,35m,Refused,0,0.1,12/8/2015,-4.6134,50.7031
Point (-4.5335614663140138 50.64628857118984939),"Cold Northcott Farm, St Clether, Launceston",PA15/01905/PREAPP,Pre application,0,---,100m,pub avail,0,0,1899-12-30,-4.5336,50.6463
Point (-4.41367265632325445 50.6122759845772876),"W of Botathan Abattoir, South Petherwin",PA15/08156,Application in for screening opinion N,1,50m,77m,screening N,0,0.5,9/21/2015,-4.4137,50.6123
Point (-4.646383588611668 50.3585903977699445),"South Torfrey Farm, Golant, Fowey",PA15/02732/PREAPP,Pre application - closed/issued,2,12m,18.55m,Closed pub avail,0,0.04,10/16/2015,-4.6464,50.3586
Point (-4.6609626513816842 50.64868102419133322),"Trela Farm, Camelford, PL32 9UB",PA14/05655,Application approved on appeal,1,22.6m,35m,Appeal allowed,0,0.1,11/10/2015,-4.661,50.6487
Point (-4.24082881004149925 50.34970898357869373),"Land North East Of Lower Withnoe Barton, Freathy",PA15/08659,Refused Planning Application,1,40m,67m,Refused,0,0.5,11/24/2015,-4.2408,50.3497
Point (-4.59931363884009592 50.70975262048191468),"Cansford Farm, Tresparrett Posts, Camelford",PA15/09018,Application in for screening opinion P,1,23.4m,33.471m,screening P,0,0,10/13/2015,-4.5993,50.7098
Point (-4.82343169672005523 50.42237029543479565),"Land N of Woodlands Barton, Wireless Road",PA15/08886,Scoping Opinion (issued),1,---,100,scoping,0,1.5,10/27/2015,-4.8234,50.4224
Point (-4.41361453019328032 50.6122517462433521),"Land at Botathan Farm, South Petherwin, Launceston",PA15/09185,Application under consideration,1,50m,77m,Pending,0,0.5,1899-12-30,-4.4136,50.6123
Point (-5.09756885651172897 50.16745103119085059),"Jubilee Wharf, Commercial Road, Penryn",C1/PA01/1227/03/G,Application approved & operational,4,---,15m,Operational,4,0.024,7/23/2004,-5.0976,50.1675
Point (-4.38941174021372404 50.77073340087246578),"Land NE of Hollafrench, East Venton",PA13/05242,Application approved & operational,1,26.8m,37m,Operational,1,0.1,11/6/2013,-4.3894,50.7707
Point (-4.83036398656019728 50.36019309736047944),"Land at Higher Goonamarth Farm, St Austell",PA14/12102,Application approved not constructed,1,50m,77m,Approved,0,0.5,3/9/2015,-4.8304,50.3602
